"domain","ip","traceroute_result"
"google.com","64.233.161.139","Трассировка маршрута к 64.233.161.139 с максимальным числом прыжков 10

  1     1 ms    <1 мс     1 ms  192.168.1.1 
  2     1 ms     1 ms    <1 мс  10.3.90.1 
  3     2 ms     1 ms    <1 мс  84.237.49.5 
  4     4 ms     3 ms    <1 мс  84.237.49.138 
  5     6 ms     4 ms     2 ms  95.170.130.189 
  6    56 ms    57 ms    58 ms  85.112.122.5 
  7    55 ms    56 ms    54 ms  195.208.208.232 
  8    64 ms    56 ms    57 ms  192.178.241.161 
  9     *       56 ms     *     192.178.241.146 
 10    63 ms     *        *     72.14.234.54 

Трассировка завершена."
"github.com","140.82.121.4","Трассировка маршрута к 140.82.121.4 с максимальным числом прыжков 10

  1     1 ms     1 ms    <1 мс  192.168.1.1 
  2     2 ms    <1 мс     1 ms  10.3.90.1 
  3     2 ms     1 ms     1 ms  84.237.49.5 
  4     5 ms     4 ms     1 ms  84.237.49.138 
  5     2 ms     2 ms     1 ms  95.170.130.189 
  6     3 ms     2 ms     7 ms  188.234.79.52 
  7    43 ms    45 ms    45 ms  213.248.97.53 
  8    54 ms    51 ms    53 ms  213.248.97.52 
  9    61 ms    62 ms    61 ms  62.115.139.51 
 10    81 ms    80 ms    80 ms  62.115.138.105 

Трассировка завершена."
"temporary.com","76.223.84.192","Трассировка маршрута к 76.223.84.192 с максимальным числом прыжков 10

  1     1 ms     2 ms     1 ms  192.168.1.1 
  2     2 ms     2 ms     1 ms  10.3.90.1 
  3     2 ms    <1 мс     1 ms  84.237.49.5 
  4     7 ms     1 ms     3 ms  84.237.49.138 
  5    12 ms    21 ms     6 ms  95.170.130.189 
  6     6 ms     5 ms     2 ms  188.234.79.52 
  7    47 ms    42 ms    44 ms  188.234.152.203 
  8     *        *        *     Превышен интервал ожидания для запроса.
  9     *        *        *     Превышен интервал ожидания для запроса.
 10     *        *        *     Превышен интервал ожидания для запроса.

Трассировка завершена."
"yandex.ru","77.88.44.55","Трассировка маршрута к 77.88.44.55 с максимальным числом прыжков 10

  1     5 ms    <1 мс    <1 мс  192.168.1.1 
  2     1 ms     5 ms    <1 мс  10.3.90.1 
  3     3 ms     2 ms     2 ms  84.237.49.5 
  4     7 ms     1 ms     1 ms  84.237.49.138 
  5    20 ms     6 ms     5 ms  95.170.130.189 
  6    62 ms    51 ms    52 ms  85.112.122.5 
  7     *       54 ms    51 ms  193.106.112.112 
  8     *        *        *     Превышен интервал ожидания для запроса.
  9     *        *        *     Превышен интервал ожидания для запроса.
 10    55 ms    53 ms    54 ms  77.88.44.55 

Трассировка завершена."
"stackoverflow.com","198.252.206.1","Трассировка маршрута к 198.252.206.1 с максимальным числом прыжков 10

  1    <1 мс     1 ms    <1 мс  192.168.1.1 
  2     2 ms     6 ms     1 ms  10.3.90.1 
  3     4 ms     2 ms     1 ms  84.237.49.5 
  4     6 ms     6 ms     6 ms  84.237.49.138 
  5    14 ms     8 ms     2 ms  95.170.130.189 
  6    54 ms    53 ms    50 ms  85.112.122.5 
  7    90 ms    85 ms    85 ms  80.81.194.180 
  8    88 ms    91 ms    92 ms  162.158.84.37 
  9    91 ms    90 ms    90 ms  198.252.206.1 

Трассировка завершена."
